Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,All_NBA_Pos,Win_Prop
B.J. Johnson,SF,24,ORL,8,0,46,5.3,19.1,0.278,1.1,6.4,0.16699999999999998,4.2,12.7,0.33299999999999996,2.1,2.1,1.0,1.1,5.3,6.4,2.1,2.1,0.0,3.2,0.0,13.8,69.0,111,Forward,0.030895983522142123
Cameron Johnson,PF,23,PHO,49,1,996,6.5,15.4,0.418,4.3,10.9,0.397,2.1,4.6,0.469,1.7,2.2,0.7609999999999999,1.9,4.8,6.7,2.5,1.4,0.8,1.4,3.4,18.9,114.0,113,Forward,0.026776519052523172
James Johnson,PF,32,TOT,32,1,619,7.9,16.5,0.479,2.5,7.0,0.363,5.4,9.5,0.565,2.4,3.7,0.6459999999999999,1.9,7.1,9.1,5.7,1.9,2.5,3.7,6.1,20.7,107.0,108,Forward,0.03333333333333334
Keldon Johnson,SF,20,SAS,9,0,92,8.4,16.2,0.516,1.0,2.6,0.4,7.3,13.6,0.5379999999999999,3.7,5.2,0.7,2.6,6.3,8.9,3.1,2.6,0.5,1.6,4.7,21.4,117.0,112,Forward,0.027806385169927908
Stanley Johnson,PF,23,TOR,20,0,96,4.0,15.4,0.258,1.0,6.5,0.154,3.0,8.9,0.33299999999999996,2.5,3.0,0.833,1.5,9.4,10.9,4.0,2.0,1.0,4.0,5.0,11.4,72.0,103,Forward,0.04737384140061792
Tyler Johnson,SG,27,PHO,31,3,515,6.0,15.7,0.38,2.2,7.6,0.289,3.8,8.1,0.466,2.2,2.9,0.75,0.9,3.9,4.8,4.6,1.1,0.7,2.2,4.0,16.4,98.0,114,Guard,0.026776519052523172
Nikola Jokić,C,24,DEN,65,65,2101,12.0,22.8,0.528,1.7,5.3,0.314,10.4,17.5,0.594,5.1,6.3,0.813,3.6,11.9,15.6,10.5,1.8,1.0,4.7,4.7,30.9,119.0,106,Center,0.044284243048403706
Damian Jones,C,24,ATL,55,27,887,6.4,9.4,0.68,0.1,0.5,0.222,6.3,8.9,0.7040000000000001,3.3,4.4,0.738,3.9,6.9,10.8,1.8,1.4,2.1,1.5,7.8,16.1,138.0,113,Center,0.02059732234809475
Derrick Jones Jr.,SF,22,MIA,51,15,1249,6.5,12.7,0.514,1.3,4.9,0.27,5.2,7.7,0.67,3.4,4.4,0.779,2.2,6.1,8.3,2.2,2.1,1.4,1.1,4.5,17.8,124.0,108,Forward,0.042224510813594233
Tyus Jones,PG,23,MEM,65,6,1232,7.5,16.3,0.45899999999999996,1.8,4.7,0.379,5.7,11.6,0.49200000000000005,1.6,2.2,0.741,0.3,3.6,3.9,10.8,2.2,0.2,2.1,1.7,18.3,116.0,112,Guard,0.032955715756951595
DeAndre Jordan,C,31,BRK,56,6,1234,7.3,11.0,0.6659999999999999,0.0,0.0,0.0,7.3,11.0,0.6659999999999999,3.2,4.7,0.68,5.4,16.1,21.6,4.0,0.7,2.0,2.8,4.4,17.9,128.0,104,Center,0.030895983522142123
Cory Joseph,PG,28,SAC,64,22,1538,4.9,11.7,0.42,1.5,4.2,0.35100000000000003,3.4,7.5,0.46,1.5,1.8,0.828,1.2,4.0,5.2,6.9,1.5,0.7,2.0,3.8,12.8,111.0,114,Guard,0.028836251287332648
Mfiondu Kabengele,C,22,LAC,12,0,64,10.3,23.6,0.43799999999999994,6.6,14.7,0.45,3.7,8.8,0.41700000000000004,3.7,3.7,1.0,0.7,7.4,8.1,1.5,1.5,1.5,1.5,6.6,30.9,119.0,106,Center,0.04531410916580844
Frank Kaminsky,C,26,PHO,32,13,718,8.4,18.4,0.455,2.6,7.4,0.348,5.8,11.0,0.527,3.9,5.8,0.67,2.0,8.4,10.4,4.7,0.9,0.7,2.2,4.6,23.2,111.0,113,Center,0.026776519052523172
Enes Kanter,C,27,BOS,51,6,891,9.6,16.9,0.5660000000000001,0.1,0.4,0.14300000000000002,9.5,16.5,0.5760000000000001,3.4,4.8,0.708,7.7,13.7,21.4,2.7,1.1,2.1,2.8,4.6,22.6,121.0,103,Center,0.044284243048403706
Luke Kennard,SG,23,DET,28,25,922,8.1,18.2,0.442,3.9,9.8,0.39899999999999997,4.2,8.5,0.491,3.6,4.0,0.893,0.5,4.7,5.2,6.1,0.6,0.3,2.3,3.5,23.6,117.0,117,Guard,0.02059732234809475
Stanton Kidd,SF,27,UTA,4,0,15,0.0,9.8,0.0,0.0,3.3,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,9.8,9.8,3.3,0.0,0.0,6.5,9.8,0.0,13.0,112,Forward,0.042224510813594233
Michael Kidd-Gilchrist,PF-SF,26,TOT,21,0,231,4.1,12.9,0.317,1.1,4.3,0.25,3.0,8.6,0.35,1.9,2.4,0.818,2.6,9.2,11.8,2.8,0.4,1.1,2.8,6.9,11.2,84.0,113,Forward,0.03333333333333334
Louis King,SF,20,DET,10,0,62,6.3,16.7,0.381,3.2,8.7,0.364,3.2,7.9,0.4,0.0,2.4,0.0,0.8,7.1,7.9,4.0,1.6,0.0,1.6,7.9,15.9,93.0,113,Forward,0.02059732234809475
